folder,domain_id,value,display_name,description
,sex_gender,0,Male,Inferred from description ordering 'Female or Male' (codes inferred)
,sex_gender,1,Female,Inferred from description ordering 'Female or Male' (codes inferred)
,OSA,1,OSA,Preserved from variable description: 1 = OSA
,OSA,0,No OSA,Preserved from variable description: 0 = No OSA
,GROUP,A,NonSleepy OSA patients,From variable description
,GROUP,B,Sleepy OSA patients,From variable description
,GROUP,C,No OSA Patients,From variable description
,GROUP,D,Borderline (AHI 5-15),From variable description
,GROUP,E,Cheyne-Stokes respiration,From variable description
,SUBGROUPS,A1,NonSleepy OSA patients randomized to CPAP treatment,From variable description
,SUBGROUPS,A2,Nonsleepy OSA patients randomized No-CPAP treatment,From variable description
,SUBGROUPS,B,Sleepy OSA patients received CPAP treatment,From variable description
,SUBGROUPS,C,No-OSA patients (CONTROLS),From variable description
,TREATMENTGROUPS,1,OSA patients received CPAP treatment,From variable description
,TREATMENTGROUPS,2,OSA patients received no-CPAP treatment,From variable description
,TREATMENTGROUPS,3,No-OSA subjects received nothing,From variable description
,INTERV,1,PCI,Inferred: intervention types PCI or CABG (codes inferred)
,INTERV,2,CABG,Inferred: intervention types PCI or CABG (codes inferred)
,CPAP_USAGE,1,Below cutoff (<= cutoff),"Inferred binary grouping: 1=Below, 2=Above (codes inferred)"
,CPAP_USAGE,2,Above cutoff (> cutoff),"Inferred binary grouping: 1=Below, 2=Above (codes inferred)"
,yes/no,1,Yes,Inferred code: 1 = Yes
,yes/no,0,No,Inferred code: 0 = No
,mask_type,1,Nasal,Inferred from label 'masktype nasal or fullface'
,mask_type,2,Full face,Inferred from label 'masktype nasal or fullface'
,CPAP_CATEG,1,0 hours,
,CPAP_CATEG,2,">0, <4 hours",
,CPAP_CATEG,3,>= 4 hours,
,FIRST_EVENT_TYPE,1,New Revascularization,
,FIRST_EVENT_TYPE,2,Myocardial infarction,
,FIRST_EVENT_TYPE,3,Stroke,
,FIRST_EVENT_TYPE,4,Cardiovascular death,
,smoke,0,Never or Former Smoker,
,smoke,1,Current Smoker,
,RETURN_CLUSTERS,1,Anxiety,
,RETURN_CLUSTERS,2,Insomnia,
,RETURN_CLUSTERS,3,Depression,
,RETURN_CLUSTERS,4,Discomfort,
,RETURN_CLUSTERS,5,Others,
,RETURN_CLUSTERS_MOOD,,1,Anxiety
,RETURN_CLUSTERS_MOOD,,2,Insomnia
,RETURN_CLUSTERS_MOOD,,3,Depression
,RETURN_CLUSTERS_MOOD,,4,Discomfort_and_Others
