folder,domain_id,value,display_name,description
"",aftype,1,chronic atrial fibrillation,""
"",aftype,2,paroxysmal atrial fibrillation,""
"",cpap_categ,1,0 hours,""
"",cpap_categ,2,">0, <4 hours",""
"",cpap_categ,3,>= 4 hours,""
"",cpap_usage,0,Below cutoff (<= cutoff),""
"",cpap_usage,1,Above cutoff (> cutoff),""
"",cpaptype,1, S8 type I,""
"",cpaptype,2, S8 type II,""
"",cpaptype,3,S9,""
"",cpaptype,4,Other,""
"",crp_1,0,>=1,""
"",crp_1,1,<1,""
"",crp_3,0,>=3,""
"",crp_3,1,<3,""
"",diabtrtm,0,No Treatment,""
"",diabtrtm,1,Diet Only,""
"",diabtrtm,2,Tablet ,""
"",diabtrtm,3,Insulin,""
"",diabtrtm,4,Tablet and Insulin ,""
"",drugstent,0,Bare-Metal,""
"",drugstent,1,Drug,""
"",endo_cat,1,Low (Below median),""
"",endo_cat,2,High (Above median),""
"",first_event_type,1,New Revascularization,""
"",first_event_type,2,Myocardial infarction,""
"",first_event_type,3,Stroke,""
"",first_event_type,4,Cardiovascular death,""
"",group,1,NonSleepy OSA patients,""
"",group,2,Sleepy OSA patients,""
"",group,3,No OSA Patients,""
"",group,4,Borderline (AHI 5-15),""
"",group,5,Cheyne-Stokes respiration,""
"",indic_pci,1,Rescue,""
"",indic_pci,2,Subacute,""
"",indic_pci,3,Elective,""
"",interv,1,Pci,""
"",interv,2,Cabg,""
"",lvef50,0,V1lvef>=50,""
"",lvef50,1,V1lvef<50,""
"",mask_type,1,Nasal,""
"",mask_type,2,Full face,""
"",osa,1,Osa,""
"",osa,0,No OSA,""
"",paroxaftype,1,paroxysmal AF no relation to intervention,""
"",paroxaftype,2,proxysmal AF with relation to intervention,""
"",pci_cabg,1,Pci,""
"",pci_cabg,2,Bypass,""
"",pci_interv,1,Elective,""
"",pci_interv,2,Acute/Subacute,""
"",quartiles,1,First quartile ,""
"",quartiles,2,Second quartile,""
"",quartiles,3,Third quartile,""
"",quartiles,4,Fourth quartile,""
"",randoma,1,Randomized to CPAP treatment,""
"",randoma,2,Randomized to No-CPAP treatment,""
"",return_clusters,1,Anxiety,""
"",return_clusters,2,Insomnia,""
"",return_clusters,3,Depression,""
"",return_clusters,4,Discomfort,""
"",return_clusters,5,Others,""
"",return_clusters_mood,1,Anxiety,""
"",return_clusters_mood,2,Insomnia,""
"",return_clusters_mood,3,Depression,""
"",return_clusters_mood,4,Discomfort_and_Others,""
"",sex_gender,0,Male,""
"",sex_gender,1,Female,""
"",smoke_current,0,Never or Former Smoker,""
"",smoke_current,1,Current Smoker,""
"",smoke_status,0,Never Smoker,""
"",smoke_status,1,Former Smoker,""
"",smoke_status,2,Current Smoker,""
"",subgroups,1,NonSleepy OSA patients randomized to CPAP treatment,""
"",subgroups,2,Nonsleepy OSA patients randomized No-CPAP treatment,""
"",subgroups,3,Sleepy OSA patients received CPAP treatment,""
"",subgroups,4,No-OSA patients (CONTROLS),""
"",treatmentgroups,1,OSA patients received CPAP treatment,""
"",treatmentgroups,2,OSA patients received no-CPAP treatment,""
"",treatmentgroups,3,No-OSA subjects received nothing,""
"",yes_no,1,Yes,""
"",yes_no,0,No,""
