folder,id,display_name,description,type,units,domain,labels,calculation,commonly_used,forms
Administrative/Randomization,random_a,CPAP Treatment Randomization (Within Group A),"",choices,"",randoma,"","","",""
Administrative/Randomization,subgroups,Study subgroups based on sleepiness and CPAP treatment,"",choices,"",subgroups,"","","",""
Administrative,cpap_1m,CPAP control date after 1 month,"",date,"","","","","",""
Administrative,cpap_1yr,CPAP control date after 1 year,"",date,"","","","","",""
Administrative,cpap_2yr,CPAP control date after 2 years,"",date,"","","","","",""
Administrative,cpap_3m,CPAP control date after 3 months,"",date,"","","","","",""
Administrative,cpap_3yr,CPAP control date after 3 years,"",date,"","","","","",""
Administrative,cpap_4yr,CPAP control date after 4 years,"",date,"","","","","",""
Administrative,cpap_5yr,CPAP control date after 5 years,"",date,"","","","","",""
Administrative,cpap_6m,CPAP control date after 6 months,"",date,"","","","","",""
Administrative,cpap_6yr,CPAP control date after 6 years,"",date,"","","","","",""
Administrative,datinter,Date of revascularization intervention,"",date,"","","","","",""
Administrative,datscree,Date of screening (date of Embletta polygraphy recording),"",numeric,"","","","","",""
Administrative,datv2_3mo,Date of Visit 2 (3 Months),"",date,"","","","","",""
Administrative,datv3_1yr,Date of Visit 3 (1 Year),"",date,date,"","","","",""
Administrative,days_to_screening,Days between date of revascularization intervention and date of screening,"",numeric,days,"","",(datscreen-datinter)/(60x60x24),"",""
Administrative,days_to_v1echo,Number of days between screening and Visit 1 echocardiogram ,"",numeric,days,"","","","",""
Administrative,final_1yr_date,Date of 1 year follow-up,"",date,"","","","","",""
Administrative,finalbloodsamples,Indicator of final blood samples taken at end of study,"",choices,"",yes_no,"","","",""
Administrative,fu_1_year,Date of 1 year follow-up,"",date,"","","","","",""
Administrative,fu_1m,Date of 1 month follow-up,"",date,"","","","","",""
Administrative,fu_1yr,Date of 1 year follow-up,"",date,"","","","","",""
Administrative,fu_2yr,Date of 2 year follow-up,"",date,"","","","","",""
Administrative,fu_3m,Date of 3 month-follow-up,"",date,"","","","","",""
Administrative,fu_3yr,Date of 3-year follow-up,"",date,"","","","","",""
Administrative,fu_4yr,Date of 4-year follow-up,"",date,"","","","","",""
Administrative,fu_5yr,Date of 5-year follow-up,"",date,"","","","","",""
Administrative,fu_6m,Date of 6 month-follow-up,"",date,"","","","","",""
Administrative,fu_6yr,Date of 6-year follow-up,"",date,"","","","","",""
Administrative,group,Study groups based on SLEEPY status and OSA status,"",choices,"",group,"","","",""
Administrative,interv,The type of revascularization intervention (PCI or CABG),"",choices,"",interv,"","","",""
Administrative,patnr,Patient Number,"",identifier,"","","","","",""
Administrative,riccadsa_id,RICCADSA ID number,"",identifier,"","","","","",""
Administrative,studystartdate,The date a patient was enrolled in the RICCADSA study,"",date,"","","","","",""
Administrative,surv_days,Survival days,"",numeric,days,"","","","",""
Administrative,surv_months,Survival months,"",numeric,months,"","","","",""
Administrative,surv_years,Survival years,"",numeric,years,"","","","",""
Administrative,v1echo,Transthoracic Echocardiogram done at Visit 1 (baseline),"",choices,"",yes_no,"","","",""
Administrative,v1echodate,Date of Echocardiogram at Visit 1 (baseline),"",date,"","","","","",""
Administrative,v2_exercise_date,Date of maximal exercise test at Visit 2,"",date,"","","","","",""
Administrative,v2_exercise_performed,Maximal exercise test performed at Visit 2 (3-month follow-up),"",choices,"",yes_no,"","","",""
Administrative,v2_exercise_time,Exercise time during maximal exercise test at Visit 2 (3-month follow-up),"",numeric,minutes (min),"","","","",""
Administrative,v2_recovery_time_total,Total recovery time during maximal exercise test at Visit 2 (3-month follow-up),"",numeric,minutes (min),"","","","",""
Administrative,v2echo,Echocardiogram done at Visit 2 (3-month follow-up),"",choices,"",yes_no,"","","",""
Administrative,v2echo_date,Date of Echocardiogram at Visit 2 (3-month follow-up),"",date,"","","","","",""
Administrative,v3echo,Echocardiogram done at Visit 3 (1-year follow-up),"",choices,"",yes_no,"","","",""
Administrative,v3echo_date,Date of Echocardiogram at Visit 3 (1-year follow-up),"",date,"","","","","",""
Adverse Events,acute_hosp_cvd,Acute hospitalization for CVD,"",choices,"",yes_no,"","","",""
Adverse Events,acutehosp,Acute hospitalization for CVD,"",choices,"",yes_no,"","","",""
Adverse Events,ami_date,Date of acute myocardial infarction,"",date,"","","","","",""
Adverse Events,cause_of_death,Cause of death,"",text,"","","","","",""
Adverse Events,composite01,"Composite endpoint 1 - Has any of the following: new revascularization, acute myocardinal infarction, stroke and cardiovascular mortality","",choices,"",yes_no,"","","",""
Adverse Events,composite02,"Composite endpoint 2 - Has any of the following: new revascularization, acute myocardinal infarction, stroke, cardiovascular mortality , mortality and acute cardiovascular hospitalization","",choices,"",yes_no,"","","",""
Adverse Events,cvd_mort,Cardiovascular mortality status,"",choices,"",yes_no,"","","",""
Adverse Events,cvd_mort_date,Date of cardiovascular mortality,"",date,"","","","","",""
Adverse Events,date_hosp_af_cardiac_failure,Date of hospitalization due to atrial fibrilation or cardiac failure,"",date,"","","","","",""
Adverse Events,first_event_date,Date of first event in composite endpoint 1,"",date,"","","","","",""
Adverse Events,first_event_type,Type of first cardiovascular event in composite endpoint 1,"",choices,"",first_event_type,"","","",""
Adverse Events,hosp_af,Hospitalization due to atrial fibrilation,"",choices,"",yes_no,"","","",""
Adverse Events,hosp_af_cardiac_failure,Hospitalization due to atrial fibrilation or cardiac failure,"",choices,"",yes_no,"","","",""
Adverse Events,hosp_cardiac_failure,Hospitalization due to caridac failure,"",choices,"",yes_no,"","","",""
Adverse Events,incident_ami,Incidence of acute myocardial infarction,"",choices,"",yes_no,"","","",""
Adverse Events,incident_stroke,Incident Stroke,"",choices,"",yes_no,"","","",""
Adverse Events,incident_stroke_date,Date of stroke if it is present,"",date,"","","","","",""
Adverse Events,mortality,Mortality status during the follow up period,"",choices,"",yes_no,"","","",""
Adverse Events,mortdate,Date of mortality,"",date,"","","","","",""
Adverse Events,newcabg,New Coronary Artery Bypass Graft,"",choices,"",yes_no,"","","",""
Adverse Events,newcabg_date,Date of new Coronary Artery Bypass Graft,"",date,"","","","","",""
Adverse Events,newpci,New Percutaneous Coronary Intervention,"",choices,"",yes_no,"","","",""
Adverse Events,newpci_date,Date of new Percutaneous Coronary Intervention,"",date,"","","","","",""
Adverse Events,newrevasc,New Revascularization,"",choices,"",yes_no,"","","",""
Adverse Events,newrevasc_date,Date of new revascularization,"",date,"","","","","",""
Anthropometry,abdomobes,"Whether a patient has abdominal obesity (WHR>=0.9 men, >=0.8 women) or not at Visit 1 (baseline)","",choices,"",yes_no,"","","",""
Anthropometry,bmi,Body Mass Index at Visit 1 (baseline),"",numeric,kilograms per meter squared (kg/m2),"",bmi,weight/(lengthxlength)x10000,"",""
Anthropometry,bmi_1yr,BMI at  1-year follow-up,"",numeric,kilograms per meter squared (kg/m2),"","","","",""
Anthropometry,bmi_3m,BMI at  3-month follow-up,"",numeric,kilograms per meter squared (kg/m2),"","","","",""
Anthropometry,hip,Hip circumference at Visit 1 (baseline),"",numeric,centimeters (cm),"","","","",""
