folder,domain_id,value,display_name,description
,sex_gender,0,Male,
,sex_gender,1,Female,
,OSA,1,OSA,
,OSA,0,No OSA,
,GROUP,1,NonSleepy OSA patients,
,GROUP,2,Sleepy OSA patients,
,GROUP,3,No OSA Patients,
,GROUP,4,Borderline (AHI 5-15),
,GROUP,5,Cheyne-Stokes respiration,
,SUBGROUPS,1,NonSleepy OSA patients randomized to CPAP treatment,
,SUBGROUPS,2,Nonsleepy OSA patients randomized No-CPAP treatment,
,SUBGROUPS,3,Sleepy OSA patients received CPAP treatment,
,SUBGROUPS,4,No-OSA patients (CONTROLS),
,RANDOMA,1,Randomized to CPAP treatment,
,RANDOMA,2,Randomized to No-CPAP treatment,
,TREATMENTGROUPS,1,OSA patients received CPAP treatment,
,TREATMENTGROUPS,2,OSA patients received no-CPAP treatment,
,TREATMENTGROUPS,3,No-OSA subjects received nothing,
,INTERV,1,PCI,
,INTERV,2,CABG,
,CPAP_USAGE,1,Below cutoff (<= cutoff),
,CPAP_USAGE,2,Above cutoff (> cutoff),
,yes_no,1,Yes,
,yes_no,0,No,
,mask_type,1,Nasal,
,mask_type,2,Full face,
,CPAP_CATEG,1,0 hours,
,CPAP_CATEG,2,">0, <4 hours",
,CPAP_CATEG,3,>= 4 hours,
,FIRST_EVENT_TYPE,1,New Revascularization,
,FIRST_EVENT_TYPE,2,Myocardial infarction,
,FIRST_EVENT_TYPE,3,Stroke,
,FIRST_EVENT_TYPE,4,Cardiovascular death,
,smoke_status,0,Never Smoker,
,smoke_status,1,Former Smoker,
,smoke_status,2,Current Smoker,
,smoke_current,0,Never or Former Smoker,
,smoke_current,1,Current Smoker,
,RETURN_CLUSTERS,1,Anxiety,
,RETURN_CLUSTERS,2,Insomnia,
,RETURN_CLUSTERS,3,Depression,
,RETURN_CLUSTERS,4,Discomfort,
,RETURN_CLUSTERS,5,Others,
,RETURN_CLUSTERS_MOOD,1,Anxiety,
,RETURN_CLUSTERS_MOOD,2,Insomnia,
,RETURN_CLUSTERS_MOOD,3,Depression,
,RETURN_CLUSTERS_MOOD,4,Discomfort_and_Others,
,INDIC_PCI,1,Rescue,
,INDIC_PCI,2,Subacute,
,INDIC_PCI,3,Elective,
,PCI_INTERV,1,Elective,
,PCI_INTERV,2,Acute/Subacute,
,PCI_CABG,1,PCI,
,PCI_CABG,2,Bypass,
,DRUGSTENT,0,Bare-Metal,
,DRUGSTENT,1,Drug,
,AFTYPE,1,chronic atrial fibrillation,
,AFTYPE,2,paroxysmal atrial fibrillation,
,PAROXAFTYPE,1,paroxysmal AF no relation to intervention,
,PAROXAFTYPE,2,proxysmal AF with relation to intervention,
,DIABTRTM,0,No Treatment,
,DIABTRTM,1,Diet Only,
,DIABTRTM,2,Tablet ,
,DIABTRTM,3,Insulin,
,DIABTRTM,4,Tablet and Insulin ,
,CRP_1,0,>=1,
,CRP_1,1,<1,
,CRP_3,0,>=3,
,CRP_3,1,<3,
,LVEF50,0,V1LVEF>=50,
,LVEF50,1,V1LVEF<50,
,quartiles,1,First quartile ,
,quartiles,2,Second quartile,
,quartiles,3,Third quartile,
,quartiles,4,Fourth quartile,
,endo_cat,1,Low (Below median),
,endo_cat,2,High (Above median),
,CPAPTYPE,1, S8 type I,
,CPAPTYPE,2, S8 type II,
,CPAPTYPE,3,S9,
,CPAPTYPE,4,Other,
