folder,id,display_name,description,type,units,domain,labels,calculation,commonly_used,forms
Anthropometry,ABDOMOBES,"Whether a patient has abdominal obesity (WHR>=0.9 men, >=0.8 women) or not at Visit 1 (baseline)",,choices,,yes_no,,,,
Adverse Events,ACUTE_HOSP_CVD,Acute hospitalization for CVD,,choices,,yes_no,,,,
Adverse Events,AcuteHosp,Acute hospitalization for CVD,,choices,,yes_no,,,,
Sleep Treatment/Adherence/CPAP Adherence,ADH_1M,Patient is adherent (still owning CPAP) at 1 month,,choices,,yes_no,,,,
Sleep Treatment/Adherence/CPAP Adherence,ADH_1YR,Patient is adherent (still owning CPAP) at 1 year,,choices,,yes_no,,,,
Sleep Treatment/Adherence/CPAP Adherence,ADH_2YR,Patient is adherent (still owning CPAP) at 2-year follow-up,,choices,,yes_no,,,,
Sleep Treatment/Adherence/CPAP Adherence,ADH_3M,Patient is adherent (still owning CPAP) at 3 months,,choices,,yes_no,,,,
Sleep Treatment/Adherence/CPAP Adherence,ADH_3YR,Patient is adherent (still owning CPAP) at 3-year follow-up,,choices,,yes_no,,,,
Sleep Treatment/Adherence/CPAP Adherence,ADH_4YR,Patient is adherent (still owning CPAP) at 4-year follow-up,,choices,,yes_no,,,,
Sleep Treatment/Adherence/CPAP Adherence,ADH_5YR,Patient is adherent (still owning CPAP) at 5-year follow-up,,choices,,yes_no,,,,
Sleep Treatment/Adherence/CPAP Adherence,ADH_6M,Patient is adherent (still owning CPAP) at 6 month,,choices,,yes_no,,,,
Sleep Treatment/Adherence/CPAP Adherence,ADH_6YR,Patient is adherent (still owning CPAP) at 5-year follow-up,,choices,,yes_no,,,,
Medical History,AFTYPE,Atrial fibrilation type,,choices,,AFTYPE,,,,
Sociodemographics,AGE,Age,,numeric,years,,,(datinter-birthdat)/(60x60x24x365.24),TRUE,
Medical History,AMI_BASELINE,Whether a patient had acute myocardial infarction or not at baseline,,choices,,yes_no,,,,
Adverse Events,AMI_DATE,Date of acute myocardial infarction,,date,,,,,,
Sleep and Circadian Studies/Polysomnography/Sleep Electroencephalogram (EEG)/Arousals,ArousalIntensity,Arousal Intensity,"EEG-based arousal intensity as classified by a machine learning algorithm (1–4 scale), averaged across all arousals during the recording period.",numeric,,,,,,
Sleep and Circadian Studies/Polysomnography/Sleep Electroencephalogram (EEG)/Arousals,ArousalIntensity_CATEGORY,Category of Arousal Indensity,,choices,,endo_cat,,,,
Sleep and Circadian Studies/Polysomnography/Sleep Electroencephalogram (EEG)/Arousals,ArousalIntensity_QUARTILES,Quartile of Aroursal Intensity,"Average intensity of EEG based arousal classified by machine learning  (1-4 scale), averaged over all nightly arousals ",choices,,quartiles,,,,
